"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Costa Rica,"1,204,164","+5,109","9,230",16.0,"860,711",,"334,223",52,"232,358","1,781","4,659,757","899,158","5,182,354",North America,2023-03-01
Bolivia,"1,193,256",+247,"22,365",,"1,158,072",+432,"12,819",220,"99,499","1,865","2,705,422","225,590","11,992,656",South America,2023-03-01
Tunisia,"1,150,962",,"29,331",,,,,44,"95,542","2,435","5,002,248","415,240","12,046,656",Africa,2023-03-01
Cuba,"1,112,603",+5,"8,530",,"1,103,980",+3,93,,"98,411",754,"14,318,158","1,266,460","11,305,652",North America,2023-03-01
Ecuador,"1,057,121",+543,"36,014",6.0,"1,020,570",,537,759,"58,361","1,988","3,082,403","170,173","18,113,361",South America,2023-03-01
UAE,"1,052,122",+124,"2,349",,"1,035,255",+82,"14,518",,"104,359",233,"199,245,666","19,762,935","10,081,785",Asia,2023-03-01
Uruguay,"1,034,303",,"7,617",,"1,026,186",,500,18,"295,852","2,179","6,114,822","1,749,083","3,496,016",South America,2023-03-01
Panama,"1,031,273",,"8,604",,"1,022,299",,370,16,"231,905","1,935","7,532,271","1,693,801","4,446,964",North America,2023-03-01
Mongolia,"1,007,897",+1,"2,179",,"1,005,711",,7,192,"298,364",645,"4,030,048","1,193,000","3,378,078",Asia,2023-03-01
Nepal,"1,001,148",+3,"12,020",,"989,117",,11,,"33,123",398,"6,013,666","198,959","30,225,582",Asia,2023-03-01
Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe,2023-03-01
Latvia,"976,031",+32,"6,242",1.0,"969,467",+32,322,13,"527,916","3,376","7,864,859","4,253,949","1,848,837",Europe,2023-03-01
Saudi Arabia,"829,554",+76,"9,615",,"816,776",+47,"3,163",38,"23,143",268,"45,148,294","1,259,546","35,844,909",Asia,2023-03-01
Azerbaijan,"828,588",+40,"10,119",,"818,310",+29,159,,"80,444",982,"7,526,899","730,752","10,300,205",Asia,2023-03-01
Paraguay,"808,327",,"19,870",,,,,7,"110,641","2,720","2,657,506","363,751","7,305,843",South America,2023-03-01
Bahrain,"707,828",+348,"1,549",1.0,"706,013",,266,6,"396,768",868,"10,739,428","6,019,916","1,783,983",Asia,2023-03-01
Sri Lanka,"672,031",+1,"16,830",,"655,199",+1,2,,"31,147",780,"6,486,117","300,619","21,575,842",Asia,2023-03-01
Kuwait,"663,456",,"2,570",,"660,237",,649,,"151,463",587,"8,455,743","1,930,391","4,380,326",Asia,2023-03-01
Dominican Republic,"660,705",+172,"4,384",,"644,785",,"11,536",4,"59,758",397,"3,740,928","338,350","11,056,370",North America,2023-03-01
Cyprus,"649,093",,"1,305",,"642,855",,"4,933",60,"530,570","1,067","9,640,118","7,879,860","1,223,387",Asia,2023-03-01
Myanmar,"633,925",+7,"19,490",,"614,400",+1,35,,"11,479",353,"10,057,159","182,105","55,227,143",Asia,2023-03-01
Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia,2023-03-01
Estonia,"615,119",,"2,940",,"524,990",,"87,189",3,"465,326","2,224","3,675,293","2,780,290","1,321,910",Europe,2023-03-01
Moldova,"607,450","+3,700","11,988",14.0,"504,142",,"91,320",49,"151,364","2,987","3,216,305","801,437","4,013,171",Europe,2023-03-01
Venezuela,"551,986",+5,"5,854",1.0,"545,878",+7,254,36,"18,860",200,"3,359,014","114,771","29,266,991",South America,2023-03-01
Egypt,"515,698",,"24,613",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692",Africa,2023-03-01
Libya,"507,174",,"6,437",,"500,734",,3,,"72,034",914,"2,483,676","352,758","7,040,745",Africa,2023-03-01
Ethiopia,"499,986",,"7,572",,"487,246",,"5,168",1,"4,139",63,"5,488,633","45,431","120,812,698",Africa,2023-03-01
Qatar,"494,271",+104,686,,"493,138",+122,447,30,"165,867",230,"4,065,369","1,364,257","2,979,915",Asia,2023-03-01
Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa,2023-03-01
Honduras,"472,116",,"11,111",,,,,105,"46,190","1,087","1,633,222","159,787","10,221,247",North America,2023-03-01
Armenia,"446,819",,"8,721",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966",Asia,2023-03-01
Bosnia and Herzegovina,"401,636",+61,"16,279",1.0,"379,084",,"6,273",,"123,606","5,010","1,884,721","580,036","3,249,317",Europe,2023-03-01
Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia,2023-03-01
North Macedonia,"346,852",,"9,662",,"337,068",,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304",Europe,2023-03-01
Zambia,"343,012",,"4,057",,"338,660",,295,,"17,617",208,"3,934,010","202,053","19,470,234",Africa,2023-03-01
Kenya,"342,919",+7,"5,688",,"337,216",+18,15,1,"6,100",101,"3,967,062","70,569","56,215,221",Africa,2023-03-01
Albania,"334,408",+17,"3,596",,"329,152",+7,"1,660",,"116,666","1,255","1,941,032","677,173","2,866,374",Europe,2023-03-01
Botswana,"329,727",,"2,801",,"326,868",,58,1,"135,070","1,147","2,026,898","830,300","2,441,162",Africa,2023-03-01
Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe,2023-03-01
Montenegro,"288,361",+81,"2,804",,"284,815",+103,742,6,"459,210","4,465","2,717,787","4,328,031","627,950",Europe,2023-03-01
Brunei,"278,698",,225,,"243,601",,"34,872",,"625,682",505,"717,784","1,611,437","445,431",Asia,2023-03-01
Algeria,"271,448",+7,"6,881",,"182,794",+1,"81,773",,"5,986",152,"230,861","5,091","45,350,148",Africa,2023-03-01
Nigeria,"266,598",+5,"3,155",,"259,917",+67,"3,526",11,"1,230",15,"5,708,974","26,339","216,746,934",Africa,2023-03-01
Zimbabwe,"264,127",+206,"5,668",5.0,"257,839",+634,620,12,"17,228",370,"2,525,756","164,744","15,331,428",Africa,2023-03-01
Uzbekistan,"251,071",+139,"1,637",,"241,486",,"7,948",23,"7,302",48,"1,377,915","40,077","34,382,084",Asia,2023-03-01
Mozambique,"233,098",,"2,242",,"228,805",,"2,051",11,"7,044",68,"1,371,127","41,437","33,089,461",Africa,2023-03-01
Martinique,"229,807",,"1,098",,,,,12,"614,314","2,935","828,928","2,215,870","374,087",North America,2023-03-01
Laos,"218,015",,758,,,,,,"29,142",101,"1,233,207","164,845","7,481,023",Asia,2023-03-01
Afghanistan,"209,340",+17,"7,896",,"191,053",+42,"10,391",45,"5,137",194,"1,201,044","29,470","40,754,388",Asia,2023-03-01
Iceland,"209,093",,229,,,,,2,"605,377",663,"1,996,384","5,780,036","345,393",Europe,2023-03-01
Kyrgyzstan,"206,673",+40,"2,991",,"196,406",,"7,276",131,"30,717",445,"1,907,195","283,460","6,728,271",Asia,2023-03-01
Guadeloupe,"201,852",,"1,010",,,,,19,"504,890","2,526","938,039","2,346,306","399,794",North America,2023-03-01
El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America,2023-03-01
Trinidad and Tobago,"189,296",,"4,347",,"184,553",,396,8,"134,578","3,090","898,169","638,546","1,406,585",North America,2023-03-01
